"","Class","Chain.length","RI","S_Nu_Me_136","S_Nu_Me_137","S_Nu_Me_138","S_Nu_Me_139","S_Nu_Me_140","S_Nu_Me_141","S_Nu_Me_142","S_Nu_Me_143","S_Nu_Me_144","S_Nu_Me_145","S_PF_Me_176","S_PF_Me_177","S_PF_Me_178","S_PF_Me_179","S_PF_Me_180","S_PF_Me_181","S_PF_Me_182","S_PF_Me_183","S_PF_Me_184","S_PF_Me_185","S_Nu_Ma_026","S_Nu_Ma_027","S_Nu_Ma_028","S_Nu_Ma_029","S_Nu_Ma_030","S_Nu_Ma_041","S_Nu_Ma_042","S_Nu_Ma_043","S_Nu_Ma_044","S_Nu_Ma_045","S_PF_Ma_016","S_PF_Ma_017","S_PF_Ma_018","S_PF_Ma_019","S_PF_Ma_020","S_PF_Ma_031","S_PF_Ma_032","S_PF_Ma_033","S_PF_Ma_034","S_PF_Ma_035","S_Nu_Li_086","S_Nu_Li_087","S_Nu_Li_088","S_Nu_Li_089","S_Nu_Li_090","S_Nu_Li_056","S_Nu_Li_057","S_Nu_Li_058","S_Nu_Li_059","S_Nu_Li_060","S_PF_Li_076","S_PF_Li_077","S_PF_Li_078","S_PF_Li_079","S_PF_Li_080","S_PF_Li_046","S_PF_Li_047","S_PF_Li_048","S_PF_Li_049","S_PF_Li_050","S_Nu_Ib_095","S_Nu_Ib_097","S_Nu_Ib_098","S_Nu_Ib_099","S_Nu_Ib_100","S_Nu_Ib_131","S_Nu_Ib_132","S_Nu_Ib_133","S_Nu_Ib_134","S_Nu_Ib_135","S_PF_Ib_091","S_PF_Ib_092","S_PF_Ib_093","S_PF_Ib_094","S_PF_Ib_096","S_PF_Ib_121","S_PF_Ib_122","S_PF_Ib_123","S_PF_Ib_124","S_PF_Ib_125","S_Nu_Ru_146","S_Nu_Ru_147","S_Nu_Ru_148","S_Nu_Ru_149","S_Nu_Ru_150","S_Nu_Ru_151","S_Nu_Ru_152","S_Nu_Ru_153","S_Nu_Ru_154","S_Nu_Ru_155","S_PF_Ru_206","S_PF_Ru_207","S_PF_Ru_208","S_PF_Ru_209","S_PF_Ru_210","S_PF_Ru_216","S_PF_Ru_217","S_PF_Ru_218","S_PF_Ru_219","S_PF_Ru_220","S_Nu_Ca_358","S_Nu_Ca_360","S_Nu_Ca_361","S_Nu_Ca_362","S_Nu_Ca_364","S_Nu_Ca_365","S_Nu_Ca_366","S_Nu_Ca_367","S_Nu_Ca_368","S_Nu_Ca_369","S_PF_Ca_370","S_PF_Ca_371","S_PF_Ca_372","S_PF_Ca_375","S_PF_Ca_376","S_PF_Ca_377","S_PF_Ca_379","S_PF_Ca_380","S_PF_Ca_381","S_PF_Ca_383"
"C17:2","Alkadiene",17,1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763643374469642,0.174144831708357,0,0.0375282872526387,0.114877541926004,0.023788922029746,0,0.0199714101596872,0,0.0369221430705297,0,0,0,0.0512167679658532,0.0375652096173347,0.0562597900984832,0.116704737815214,0.0826043979848642,0.0152228110562518,0.0116865723058956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-C17:1","Alkene",17,1666,0.0310412473769286,0,0,0.0900191441350282,0.034148754468815,0.0173680994533553,0,0,0,0.0281825403092887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259426363065012,0.0965055797188537,0.0137410026730077,0.0120571720258565,0.0267196072606099,0,0.0496604150730735,0,0.0191252724164637,0.161158490280241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434149342049782,0.532149095623734,0,0.165796415796527,0.25571608120526,0.137609515435958,0,0.114985533169231,0,0.142168779045471,0,0.0496570296016833,0.0446241776766024,0.117056474439247,0.189471498609618,0.243329201766978,0.0309572074223005,0.343678122967545,0.0586703273232097,0.0945262660790256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C17","Alkane",17,1700,0.0308323550888338,0,0.0197842730697892,0.0808759902213577,0.021132501893398,0.0164317912321554,0.0302619988294555,0,0.0620416424090642,0.0180897292121547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183649140796675,0.603224289960968,0,1.24654494311997,0.319070875039245,0.117678035483862,0,0.215433611766059,0,0.0873840173568559,0.024013248733459,0.271667496034825,0.0367952281868057,0.238748260643635,0.124392068252555,0.194442119322039,0.197601689845885,0.217487937007852,0.0456597692788122,0.126367475415699,0,0,0,0,0,0,0,0,0,0,0,0,0.0182404339680645,0,0.180926627823908,0.0728765285735635,0.14552596010404,0.184407434570825,0.68822323038129,2.22112266110615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C19:2","Alkadiene",19,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021610519959462,0.0751934021328479,0,0.014401291187976,0.0338077774344037,0.0119762033961715,0,0.0112286768867064,0,0.0267592065097833,0,0,0,0.0231673995144136,0.0237473402401339,0.0358140278646149,0.0582184726618082,0.0251717728041304,0.0240327259294315,0.0169480620868149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-C19:1","Alkene",19,1875,0.702819050305824,0.0437449560348605,0.0576160437379422,0.35375015919446,0.291931378535718,0.350042615657022,0.189549734132249,0.0645102391883746,0.517365529729821,0.239937205105643,0.377924027192358,0.24212540160277,0.458362772753824,0.242543561077549,0.0083721731207525,0.288226629763426,0,0,0.0100208007973233,0,0.153965653601545,0.0554233573749554,0.0869123479789367,0.100052601930214,0.161094780718467,0.0692384477533453,0.254851450220125,0.129835395619655,0.721625428331708,0.0686895367543597,0.301296210502967,0.47833717041529,0.0727525927116787,0.0641003464283229,0.213184720333659,0.10515418822237,0.345747741379587,0.172891816785997,0.10649869200938,0.263376287564292,0.111666406133979,0.519883940568386,0.042241512444303,0.19114477903145,0.462311532127764,0.161717669613991,0.345199877959665,0.127021512733179,0.208554332397443,0.126034789529144,0,0,0,0,0,0,0,0,0,0,0.178188618718882,0.569992247170922,0.213863298786502,0.263480947090677,0.158667439393489,0.151756230398219,0.175774451276183,0.279859878407353,0.172797965633284,0.264041035005829,0.0512115918620761,0.207669606732727,0.127307703221665,1.18688081100233,0.152535691295058,0.755306618637338,0.500717610001298,0.246867850159607,0.168469970547293,0.253307028988444,0.0749953218585844,0,0.0465909736472933,0.0620073607952105,0.0820932252189783,0.041147415797288,0.0217207545229532,0.14814936962899,0.0250155474509459,0.0321453863743246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963317001275857,0.128872072875926,0.148686789904683,0.387159566531781,0,0,0.691380058360562,0.189409426272099,0
"C19","Alkane",19,1900,0.187658245467442,0.168442815981555,0.503713730194499,0.656529301787325,0.230487034484337,0.112815667602599,0.0964851894878181,0.0657674940370164,0.194318685017258,0.0647023733498789,0.465432541404653,0.799145869251601,4.72273358574897,0.466773758303014,0.43358391062914,0.679207120138349,0.475210058900865,0.365850780001355,0.271016646945683,0.544952687281622,0.0481525828127583,0.02263695200532,0,0.159435054420922,0.286484873030679,0.0207884817909255,0,0.0514084205164671,0.0634077758646956,0.0231150137574298,0,0.0160530377270953,0,0.00907356660586598,0.0187273788170904,0,0.0586952108205031,0.0468726806656529,0.0320199725810109,0.16662492704062,0.0497488836614687,0.0682582277557278,0.0421031986656519,0.0592674573288674,0.0713951317682602,0.154387383515024,0.363665869073973,0.173131721400903,0.172424504365732,0.212915507811283,0.673290202060432,0.0975063106309931,0.0689487621966817,0.0658038743268071,0.0671708378075179,0.0731673368424267,0.054355587206016,0.0824297687410047,0.0293200628535352,0.0465871404165393,0.582994236755493,1.85212504304402,0.609053762373241,3.20741284284281,1.64008088573954,0.234422634661632,0.311548199370933,0.583388723514005,0.242620040754059,0.162296012417994,0.137975484679756,0.387894391765683,0.219545865400228,0.422731654607235,0.45300082930808,0.487419983273001,0.45546706071367,0.436572494040078,0.465495836768383,0.355304823966999,0.171125032895122,0.0551458021515993,0.121944388088078,0.151655759019688,0.0949082615869332,0.0978871689396077,0.0747227197569022,0.0845970601891528,0.311143489973866,0.142208223280589,0.301166665919053,0.422741228533049,0.651109497726731,0.316088584848408,0.643117061177444,0.424821530184471,0.948007906396388,0.664891901585131,1.51815561355494,4.1030689350417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C20","Alkane",20,2000,0.0361549028919638,0.0225613395901267,0.0389837559770111,0.0446278582565057,0.0414270206862248,0.0298491337597227,0.0100930122203651,0.0136211507193921,0.022277936848459,0.0124800372156477,0.099332580414706,0.195082119376885,0.223927508626304,0.0985706528519915,0.0905371175835204,0.21587643515053,0.140926893393812,0.109965135062853,0.0803898475227101,0.147352817942436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329044874024215,0.0587233131823596,0.0395897428536331,0.111242642847373,0.0909734073389699,0.0165692948873416,0,0.0202511852265756,0,0,0.0276903421459593,0.0452526224626969,0.0221040477737824,0.0130174260801837,0.0398320544567313,0.0255997837725741,0.0369504040779209,0.0230058980749803,0.121910692087277,0.0293930682141517,0,0,0,0,0,0,0,0,0,0,0.0961973032543142,0.124048269970844,0.21494064090807,0.0628596718858002,0.0734770367196996,0.0788495577846616,0.196712833171278,0.103971136546281,0.131700855684102,0.227638253762355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C21:2","Alkadiene",21,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426923061891335,0.0225399647023013,0,0.0435942313966514,0.0232139766940213,0.0452511681654414,0.0238330330331855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-C21:1","Alkene",21,2073,0.0755547541059521,0.0298994081835134,0.0326946650885131,0.0851517936682676,0.0504769593367567,0.086295982119705,0.0199242753240701,0.0404927097718176,0.025689285226086,0.0117791847032247,0.121925456364044,0.0941566756834448,0.0626344153038295,0.0818665357891483,0.128645006319158,0.0825517543987935,0.142762211242195,0.0691972143368014,0.0593292856815659,0.065173231444515,0,0,0,0,0,0,0,0,0,0,0.176083687328875,0.14137270712017,0.152635461030163,0.0992498114733698,0.21111443306212,0,0.159236881281472,0.118529065655402,0.0226968648471839,0.0926087222591436,0,0,0,0,0,0,0,0,0,0,0.0382844384073932,0.0653490811281586,0.058231107900578,0.0243593686185716,0.0892944522436735,0.0145969060632218,0.0839821569125476,0.041915417961604,0.01123482575559,0.103522364604366,0.155129519426682,0.383562338125342,0.131440515717863,0.0583703280759965,0.0842872643823427,0.0499199730026911,0.078106450875438,0.0553365069638767,0.0997897290409684,0.0529161291929431,0.0766480651524052,0.0898422306861747,0.132522526793582,0.195191337876968,0.32658017287586,0.228915484016935,0.301072272559746,0.338253025179281,0.135727403157001,0.167155133486077,0,0,0,0,0,0,0,0,0,0,0.0771592114092598,0.0505413663895322,0.0270020650548786,0.0476327721161601,0.0168914279236494,0.110897424868794,0.0151942818635995,0.0278549970777091,0.0283709574422697,0.021807159092281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C21","Alkane",21,2100,1.22272600931005,1.57043225253149,1.27627977072138,2.05621433377035,1.32412934373393,1.29847216290438,0.570845217968063,0.613489818270989,0.995163202759892,0.255081924393923,4.54970671580377,15.4535769859267,2.40003178762883,7.94429345706548,4.5739435773609,13.5149140774328,8.89058482646838,7.84533834295442,4.64650262038088,9.29112888664002,0.506122758025098,0.239648202158381,0.226529791706009,1.64558381514964,2.30767299227192,0.163222270207053,0.238950819326414,0.285183995801512,0.394764936332696,0.248004488315932,1.13276585979861,0.485780151273858,0.377135543144863,0.708020907060481,0.481038515565102,6.33781225579866,0.895693917757673,0.807499688096179,0.570904934031618,0.527929964558568,0.493213618462031,0.776810148846871,0.585100304996564,0.727220035485246,0.738267618590286,4.26841109104425,2.52986313676646,1.15713926846086,1.08903422854534,1.89155182297227,0.443678633609212,0.877773262889519,1.96945670844089,0.565998464921979,0.823786328686621,1.504402483864,0.781756663781643,1.04315632558989,0.731097265509145,0.727669649133169,1.29211384636922,1.68360702757892,4.39708652768808,3.57422634979896,3.01508820009641,0.560608333773046,2.78148522656791,1.2577936294695,2.30053313440346,0.504068429681165,1.13200267734984,1.19003380990683,1.14839773699695,0.686102973017126,1.57160875395359,1.83794489011475,1.55646533361685,1.5200562373338,9.71501514222043,1.33481738867205,2.26307414475641,0.417483622268952,1.72441980230727,2.30082345148476,0.80994511033885,1.32291101640703,0.596621554908437,0.601479841955295,1.21480876277194,0.809164583589056,7.07395996149744,10.7972744422438,12.887738794715,4.47461109911336,4.34614222504088,6.87579661887283,11.6162692325629,7.20918784580545,6.38908692281844,4.98988740046257,0,0,0,0,0,0,0,0,0,0,0.132326605624677,0.623594068298312,0.371852284002251,0.197121384479176,0.706029622105363,0.313871623703313,0.270734877291179,1.13243205755866,0.614888546398249,0.254405827537743
"C22:1","Alkene",22,2173,0.0390168311045802,0,0.034007935087439,0,0.0134801448643562,0.034177474181655,0,0.0121677786616241,0,0,0.0613603947836671,0.0160444325340071,0.0921951389670289,0,0.0340363081177276,0,0.03816321882672,0.0411041321711398,0.0268244458995315,0.0388901738210827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159012736967615,0.0129187495472527,0.023077752142351,0.0383639573977262,0.0407002981293482,0,0.032998860707869,0.0546501399231638,0.0324563574310563,0.0165935480295263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C22","Alkane",22,2200,0.394191844936108,0.230618106162102,0.304876943218809,0.324343579078746,0.339576536446859,0.334516262852736,0.155207493924773,0.194212059469112,0.283255132407829,0.136991421983756,0.346624566645725,0.565503069575747,0.246584973232418,0.362359765221278,0.124639576557343,0.52663939756784,0.464343737559524,0.468117050528373,0.305862339564544,0.485277725525387,0.044558202450311,0.0404557159205571,0.0339829423801074,0.19373634264092,0.262861005786703,0.027291721300471,0.0981260772492686,0.0622944742397837,0.067603404855835,0.0319743696961203,0.424708881916535,0.219708385456964,0.233274765858362,0.230057598154454,0.170914363748983,0.0643127499189919,0.20705035600385,0.361033525111594,0.19998954330841,0.242622077906774,0.110387086297552,0.171384540157104,0.115307273725914,0.200928733000606,0.161500975058384,0.243659172161773,0.198425746962324,0.0937563165527332,0.0857787617745342,0.130707575624525,0.354475989718845,0.246105901053976,0.359920155769154,0.27754428453139,0.464661930334232,0.275914550186632,0.190140135928636,0.173719487034701,0.23700193721167,0.331094601857819,0.157162942174722,0.150578166353158,0.426569906377378,0.254785730144023,0.148134619867928,0.129568686336818,0.237705913089256,0.153616605954147,0.346937567156326,0.204720071147764,0.292346691292142,0.252186773572964,0.277543041462733,0.229942661229598,0.268200656053288,0.138886000619532,0.272935904049225,0.107781854613342,0.343861045708003,0.139184137292395,0.392287393914127,0.118663526787887,0.336301050395307,0.395902702186896,0.209546976537097,0.183807509797849,0.129869143471151,0.175765706772281,0.102853255109173,0.128897750764818,0.336163330592045,0.343877293427806,0.467866634304745,0.276335004174726,0.0415249548631694,0.252644039602619,0.435250405656098,0.298059312415006,0.276404236554935,0.317184281603257,0,0,0,0,0,0,0,0,0,0,0,0.22253910171261,0.23373551045024,0.190161021158721,0.322095126575419,0.236705873470825,0.226260969296574,0.345392739780335,0.341476450375131,0.192833391714613
"C23:2","Alkadiene",23,2264,0,0.0189817685468302,0.187797574336781,0,0.412993713716781,0.420828163818501,0,0.244875123725091,0,0,0,0,0,0,0,0,0,0,15.5116834231832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536496995865457,0.512908727766613,0,0.284374894138163,0.226701172486532,0.15322193671869,0,0,0,0,0.421306635236884,0.570286191450336,0.571506676243259,21.3371001657378,0.339102248377355,0,8.74086429522016,0.6009957686024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-; 7-C23:1","Alkene",23,2271,3.24980325007257,0.922746566791702,2.98348655984921,1.76208952693148,2.15332655890261,2.85238196010383,1.09571120345486,1.32478602408273,1.64863405106872,0.905673431034717,3.22416408028863,3.03476089170326,2.8740525731871,2.4050175647332,2.9742544981691,2.95137839770327,3.87259817190491,3.9956658522664,2.37322179060617,3.5375161632784,0.74913756626424,0.229927893117537,0.347657792183435,1.03897382268657,1.58461224609973,0.067154604874216,0.512656967890682,0.323659587678924,1.07371234689528,0.0671673751128802,5.54037695732573,2.30109444809856,2.3127686678743,2.31167967674841,1.3526321015385,1.01651749524234,1.80168675301989,1.55826459020455,0.921595723790796,2.00349796214101,0.299030078536822,0.907314251348042,0.305946519193939,0.8296910362977,0.748233762461723,2.50625902817186,1.24329354322414,0,0.0753972917099134,1.10552654108751,3.47036226025624,1.93927086051568,2.92144003199487,2.32355129611903,4.32613061338436,3.32234734305507,3.72100397864442,1.8384839724136,3.24731857810492,4.17219302336994,0.416926551149643,1.03854246305114,2.26118103532175,0.783176353609466,0.614205981904226,0.561341016169722,1.30336319221377,0.885594833599494,1.39225004351882,0.844267579593765,1.76689534079537,2.05411024869321,3.4721099718115,3.76529662791078,2.81529946744969,3.62406794412922,1.90859771951438,1.68947556535942,2.40962133247285,2.06881050753836,1.35149835616207,0.795825812236771,1.1164063424659,1.5154918659137,1.03370455270282,1.48073033959031,0.74243529607247,1.44819013622205,1.06718715524966,1.25522274129703,2.12254962782024,1.43274146460351,1.51358405036647,1.51245536706763,1.57788390448607,1.74767481818124,13.1790969839523,18.7069674307109,16.8574318194721,3.28678971307719,0.0578695375384826,0.0788781277938045,0.0441824419492476,1.67915152884226,0.102198724954983,1.11816082968718,0.0663792920606321,0.153715358443136,0.317707694258866,1.93126391297496,0.575229583266021,2.18652461776569,2.04988778257011,2.716824969182,2.26880793729754,4.08623894774394,2.69103219156688,2.96825988602055,1.86577551034257,1.89407049736868
